epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,1881.09,0.49505,0.53704,0.91367,0.78843,0.79342,0.79761,0.69999,0.52445,0.56832,0.91527,9.905e-05,9.905e-05,9.905e-05
83,1903.84,0.47335,0.49061,0.90292,0.79712,0.78555,0.79476,0.69976,0.52362,0.57265,0.9166,9.41e-05,9.41e-05,9.41e-05
84,1926.61,0.49936,0.50338,0.90289,0.75599,0.81149,0.79298,0.69877,0.52121,0.59168,0.91192,8.915e-05,8.915e-05,8.915e-05
85,1949.37,0.50233,0.52783,0.91263,0.7752,0.79454,0.79615,0.70344,0.51379,0.5904,0.91165,8.42e-05,8.42e-05,8.42e-05
86,1972.13,0.47825,0.48768,0.90127,0.77096,0.81266,0.7992,0.70264,0.51659,0.58019,0.9113,7.925e-05,7.925e-05,7.925e-05
87,1994.89,0.48165,0.5071,0.90696,0.78203,0.79656,0.79633,0.70422,0.51571,0.58772,0.91651,7.43e-05,7.43e-05,7.43e-05
88,2017.65,0.47201,0.48816,0.90071,0.7792,0.78464,0.79377,0.70203,0.51862,0.59413,0.91612,6.935e-05,6.935e-05,6.935e-05
89,2040.41,0.47658,0.49253,0.90374,0.78362,0.79713,0.79241,0.70147,0.51595,0.58528,0.91409,6.44e-05,6.44e-05,6.44e-05
90,2063.16,0.48564,0.50307,0.90865,0.77208,0.80412,0.79453,0.70516,0.51745,0.58049,0.91598,5.945e-05,5.945e-05,5.945e-05
91,2112.16,0.47607,0.48908,0.89061,0.78256,0.80606,0.80143,0.70909,0.51549,0.57289,0.91209,5.45e-05,5.45e-05,5.45e-05
92,2134.74,0.47381,0.48147,0.89068,0.77698,0.81021,0.80288,0.70884,0.51635,0.56853,0.9074,4.955e-05,4.955e-05,4.955e-05
93,2157.31,0.46884,0.47996,0.89031,0.77813,0.80853,0.80472,0.71117,0.51154,0.56837,0.9032,4.46e-05,4.46e-05,4.46e-05
94,2179.86,0.46254,0.4721,0.88474,0.75887,0.82816,0.80231,0.70987,0.51309,0.57198,0.90346,3.965e-05,3.965e-05,3.965e-05
95,2202.44,0.46534,0.49158,0.89204,0.77885,0.80599,0.79971,0.70862,0.51187,0.56362,0.90509,3.47e-05,3.47e-05,3.47e-05
96,2225,0.45666,0.47453,0.88099,0.78081,0.80606,0.79826,0.70816,0.51067,0.56606,0.90556,2.975e-05,2.975e-05,2.975e-05
97,2247.51,0.45631,0.46612,0.88615,0.77755,0.80855,0.79626,0.70682,0.51213,0.56601,0.90809,2.48e-05,2.48e-05,2.48e-05
98,2270.02,0.45786,0.45924,0.88392,0.77751,0.80914,0.79815,0.70747,0.50852,0.56273,0.90612,1.985e-05,1.985e-05,1.985e-05
99,2292.53,0.45865,0.46721,0.88227,0.77794,0.80883,0.79746,0.7062,0.51027,0.55986,0.9075,1.49e-05,1.49e-05,1.49e-05
100,2315.13,0.46105,0.49462,0.88658,0.77647,0.80497,0.79701,0.70657,0.50944,0.56124,0.90736,9.95e-06,9.95e-06,9.95e-06
